043.wav,,Neutral,,Noisy,,Same speaker
043.wav,Neutral,,Fair,,,Same speaker
043.wav,Angry,,,Fair,Hard to say,
043.wav,Neutral,,Bad,,,Same speaker
043.wav,Neutral,,,Bad,Same speaker,
043.wav,Neutral,,,Bad,Same speaker,
043.wav,Happy,,Good,,,Same speaker
043.wav,Happy,,Noisy,,,Similar speaker
044.wav,Happy,,Good,,,Similar speaker
044.wav,Happy,,Fair,,,Hard to say
044.wav,Neutral,,Noisy,,,Same speaker
044.wav,Sad,,Bad,,,Same speaker
044.wav,Neutral,,Bad,,,Same speaker
044.wav,Sad,,Bad,,,Same speaker
044.wav,Neutral,,Bad,,,Same speaker
044.wav,,Neutral,,Noisy,,Same speaker
044.wav,Angry,,Noisy,,,Same speaker
044.wav,Neutral,,Noisy,,,Same speaker
045.wav,,Angry,,Bad,,Same speaker
045.wav,Sad,,Fair,,,Same speaker
045.wav,Neutral,,,Bad,Similar speaker,
045.wav,Sad,,Bad,,,Same speaker
045.wav,Sad,,Good,,,Similar speaker
045.wav,Sad,,Good,,,Same speaker
045.wav,Happy,,Noisy,,,Similar speaker
045.wav,Neutral,,Bad,,,Same speaker
045.wav,Neutral,,,Bad,Same speaker,
045.wav,Neutral,,,Bad,Same speaker,
046.wav,,Neutral,Fair,,,Different speakers
046.wav,Happy,,Fair,,,Similar speaker
046.wav,Angry,,,Fair,Same speaker,
046.wav,,Angry,Fair,,,Different speakers
046.wav,Sad,,,Noisy,Similar speaker,
046.wav,Angry,,Fair,,,Similar speaker
046.wav,,Angry,,Noisy,,Same speaker
046.wav,Sad,,Fair,,,Similar speaker
046.wav,,Neutral,,Good,,Same speaker
046.wav,Angry,,,Fair,Similar speaker,
047.wav,Neutral,,Good,,,Similar speaker
047.wav,Happy,,Noisy,,,Similar speaker
047.wav,Angry,,Good,,,Hard to say
047.wav,Neutral,,Bad,,,Similar speaker
047.wav,,Neutral,,Good,,Same speaker
047.wav,,Angry,,Bad,,Same speaker
047.wav,,Neutral,,Bad,Same speaker,
047.wav,Neutral,,,Fair,Same speaker,
047.wav,Neutral,,Bad,,,Same speaker
047.wav,Neutral,,Good,,,Hard to say
048.wav,Neutral,,Noisy,,,Different speakers
048.wav,Happy,,Fair,,,Similar speaker
048.wav,Neutral,,Noisy,,,Same speaker
048.wav,,Neutral,,Good,,Same speaker
048.wav,,Happy,,Good,,Same speaker
048.wav,Neutral,,,Fair,Same speaker,
048.wav,Happy,,Bad,,,Different speakers
048.wav,Sad,,Bad,,,Same speaker
048.wav,Neutral,,Fair,,,Different speakers
048.wav,Happy,,Fair,,,Similar speaker
049.wav,Happy,,Fair,,,Hard to say
049.wav,Happy,,Good,,,Similar speaker
049.wav,Neutral,,Bad,,,Same speaker
049.wav,,Neutral,Noisy,,,Hard to say
049.wav,Sad,,Bad,,,Similar speaker
049.wav,,Sad,,Bad,,Same speaker
049.wav,Happy,,Fair,,,Similar speaker
049.wav,Neutral,,,Bad,Same speaker,
049.wav,Sad,,Bad,,,Same speaker
049.wav,Happy,,Good,,,Same speaker
050.wav,Happy,,Fair,,,Similar speaker
050.wav,Sad,,Bad,,,Similar speaker
050.wav,Happy,,Noisy,,,Similar speaker
050.wav,,Neutral,Fair,,,Hard to say
050.wav,Neutral,,Bad,,,Same speaker
050.wav,Neutral,,Noisy,,,Same speaker
050.wav,,Neutral,Good,,Similar speaker,
050.wav,Happy,,Fair,,,Hard to say
050.wav,Sad,,,Fair,Same speaker,
050.wav,Neutral,,Good,,,Same speaker
051.wav,Sad,,Bad,,,Same speaker
051.wav,Sad,,Fair,,,Hard to say
051.wav,Neutral,,Noisy,,,Similar speaker
051.wav,Angry,,,Fair,Similar speaker,
051.wav,Sad,,Bad,,,Similar speaker
051.wav,Happy,,Good,,,Same speaker
051.wav,Neutral,,,Bad,Same speaker,
051.wav,,Neutral,Bad,,,Same speaker
051.wav,Angry,,Noisy,,,Same speaker
051.wav,Neutral,,Good,,,Same speaker
052.wav,Angry,,Bad,,,Same speaker
052.wav,Neutral,,Bad,,,Hard to say
052.wav,Neutral,,Fair,,,Hard to say
052.wav,Happy,,Fair,,,Similar speaker
052.wav,,Angry,,Noisy,,Same speaker
052.wav,Happy,,Noisy,,,Hard to say
052.wav,Neutral,,,Bad,Same speaker,
052.wav,Angry,,Noisy,,,Same speaker
052.wav,Angry,,Noisy,,,Same speaker
052.wav,Neutral,,Bad,,,Same speaker
053.wav,,Happy,,Noisy,,Same speaker
053.wav,,Angry,,Noisy,,Same speaker
053.wav,Angry,,,Noisy,Different speakers,
053.wav,,Neutral,Noisy,,,Different speakers
053.wav,,Angry,,Bad,,Same speaker
053.wav,Angry,,Noisy,,,Same speaker
053.wav,Happy,,Noisy,,,Hard to say
053.wav,Neutral,,Bad,,,Same speaker
053.wav,,Neutral,Good,,,Same speaker
053.wav,,Angry,,Noisy,,Same speaker
054.wav,Neutral,,Bad,,,Hard to say
054.wav,Happy,,Good,,,Hard to say
054.wav,,Angry,,Bad,,Same speaker
054.wav,Happy,,Noisy,,,Hard to say
054.wav,Neutral,,Fair,,,Different speakers
054.wav,Neutral,,Good,,,Same speaker
054.wav,Angry,,Bad,,,Hard to say
054.wav,,Angry,,Bad,,Same speaker
054.wav,Neutral,,Fair,,,Hard to say
054.wav,Neutral,,Good,,,Same speaker
055.wav,,Neutral,Noisy,,,Different speakers
055.wav,Happy,,Good,,,Hard to say
055.wav,Angry,,,Bad,Different speakers,
055.wav,Angry,,Noisy,,,Similar speaker
055.wav,Angry,,Bad,,,Same speaker
055.wav,,Angry,,Good,,Same speaker
055.wav,Sad,,Good,,,Same speaker
055.wav,Neutral,,Fair,,,Similar speaker
055.wav,Angry,,,Good,Same speaker,
055.wav,Happy,,Fair,,,Hard to say
056.wav,Happy,,Noisy,,,Same speaker
056.wav,Neutral,,Bad,,,Hard to say
056.wav,Sad,,Bad,,,Different speakers
056.wav,Neutral,,Excellent,,,Similar speaker
056.wav,,Angry,,Bad,,Same speaker
056.wav,Neutral,,,Bad,Same speaker,
056.wav,Neutral,,Bad,,,Hard to say
056.wav,Happy,,Fair,,,Similar speaker
056.wav,Angry,,Noisy,,,Different speakers
056.wav,Sad,,Bad,,,Similar speaker
057.wav,Happy,,,Good,Hard to say,
057.wav,Neutral,,,Excellent,Same speaker,
057.wav,,Happy,Excellent,,,Same speaker
057.wav,Angry,,Noisy,,,Similar speaker
057.wav,Neutral,,Excellent,,,Same speaker
057.wav,,Happy,,Excellent,,Same speaker
